Arithmetic Intensity,Total Flops,Time (s),Cycles,Label
2.755655975,376904.7789,187.2033,487226968.2,KalmanGain
2.804918488,363638.4169,328.0877125,849582981.5,KalmanUpdate
2.886857253,375740.733,305.151025,773558796.6,MultHelixPropEndcap
1.595634757,148822.7517,15.1523871,29731278.52,main
1.680302679,175003.9051,1218.904,4367016626,prepareHits
2.128739952,250723.0508,165.005,591853154,prepareTracks
2.88588177,377916.6529,308.1622625,772588547.1,propagateToZ
1.305040629,167257.7051,2989.918,10715516315,randn
