Arithmetic Intensity,Total Flops,Time (s),Cycles,Label
3.088219362,374752.833,227.1808,640537603.3,KalmanGain
2.960024932,383139.8085,273.2273125,781224345.4,KalmanUpdate
3.12037984,381626.1755,367.3484875,1043870651,MultHelixPropEndcap
1.105689507,215636.1365,11.17255556,33309781.67,main
0.9122456026,167438.8154,1343.695,4757345676,prepareHits
0.8688604703,276321.4365,140.009,494971118,prepareTracks
2.990275248,377682.1251,237.026675,682152340.5,propagateToZ
0.9181242667,185094.8681,2348.251,8311422818,randn
