Arithmetic Intensity,Total Flops,Time (s),Cycles,Label
0.127284,3.38677E+11,6.9754,19532477297,pdv icc scalar
0.172025,5.70186E+11,6.8934,13700089451,pdv icc simd
0.06564,5.95981E+11,22.5851,62104319501,advec mom scalar
0.165177,1.44902E+12,21.6986,43918592719,advec mom simd
0.056729,3.18897E+11,12.7674,34663621261,advec cell scalar
0.171343,9.24724E+11,12.3296,24492792970,advec cell simd
