Arithmetic Intensity,Total Flops,Time (s),Cycles,Label
2.794319968,445545.9986,317.986775,975839723.7,KalmanGain
2.811905411,440860.694,544.863425,1677033325,KalmanUpdate
2.7595943,428012.0518,514.1184,1581156704,MultHelixPropEndcap
2.711472162,404607.1537,13.41406667,40780159.93,main
1.428336285,170459.8556,1247.483,4493145104,prepareHits
1.643144943,178664.3675,205.004,739387864,prepareTracks
2.810070523,442503.3588,512.99245,1577519821,propagateToZ
1.361593493,175417.3851,2993.183,10785881648,randn
