Arithmetic Intensity,Total Flops,Time (s),Cycles,Label
3.154617094,499151.7111,338.4905,1069549846,KalmanGain
2.947683152,484294.2181,420.761875,1302833769,KalmanUpdate
2.952037821,491255.9008,541.437325,1771077984,MultHelixPropEndcap
0.6288617727,61841.47703,34.935,27679824.29,main
0.9513582218,176633.979,1378.989,4648116419,prepareHits
1.080197447,243490.3547,165.003,651613918,prepareTracks
3.045395055,477931.5807,337.186125,1081001836,propagateToZ
1.047385904,205306.6698,2338.515,7460960421,randn
