Arithmetic Intensity,Total Flops,Time (s),Cycles,Label
3.133648153,446112.4428,377.336825,1125570085,KalmanGain
3.088521958,450158.9709,482.446075,1444768843,KalmanUpdate
3.053395577,444178.6039,618.575475,1845037084,MultHelixPropEndcap
1.79512728,199250.2849,16.67,53700719.83,main
1.005468102,180985.4156,1350.555,4755140414,prepareHits
0.8365251213,156995.6218,185.007,652637348,prepareTracks
3.07039082,445483.0887,411.2796,1225198773,propagateToZ
1.008561694,202901.3548,2244.631,7897310727,randn
