Arithmetic Intensity,Total Flops,Time (s),Cycles,Label
1.105364134,200095.7282,1200.649,4252763074,prepareHits GCC
0.7277534824,131188.6043,235,832515128,prepareTracks GCC
2.884382047,415520.15,203.5270625,601308749,propagateToZ GCC
1.680302679,175003.9051,1218.904,4367016626,prepareHits ICC
2.128739952,250723.0508,165.005,591853154,prepareTracks ICC
2.88588177,377916.6529,308.1622625,772588547.1,propagateToZ ICC
